,0
0,15.96655000000001
1,7.672850000000006
2,8.792800000000009
3,5.993250000000001
4,8.076400000000001
5,9.884000000000007
6,8.6688
7,14.995249999999997
8,7.487899999999997
9,16.565350000000016
10,15.104650000000017
11,9.520199999999992
12,6.3329
13,15.1589
14,7.0307499999999905
15,9.9062
16,9.60634999999999
17,6.797799999999988
18,14.5715
19,8.4254
20,8.201350000000005
21,8.685949999999997
22,6.740550000000004
23,14.905450000000007
24,6.4196500000000025
25,9.747999999999987
26,6.67639999999999
27,8.272300000000003
28,15.366650000000014
29,11.199650000000004
30,7.765949999999995
31,16.489200000000018
32,9.130650000000001
33,6.5696999999999965
34,8.630749999999995
35,8.049800000000001
36,9.807899999999991
37,13.940900000000022
38,3.773700000000003
39,8.391550000000006
40,8.683800000000009
41,7.237699999999995
42,5.251899999999993
43,6.182099999999997
44,6.278800000000006
45,7.248699999999999
46,7.64115
47,8.630300000000007
48,14.210499999999998
49,11.569499999999982
50,18.761650000000003
