CATS2D_01_DN:(Dragon7),logd_pH_10.0,averagemicrospeciescharge_Charge_pH_10.0,R2s:(alvaDesc),ATSC1e:(alvaDesc),TPSA:(CDK23),SPP:(alvaDesc),SpPosA_B(e):(alvaDesc),Mor26m:(alvaDesc),GATS3e:(alvaDesc),XLogP:(CDK23),DISPe:(alvaDesc),FPSA-3:(CDK23),RTs:(alvaDesc),DLS_06:(Dragon7),TDB03e:(Dragon7),LDI:(alvaDesc),Mor10e:(alvaDesc),SHED_DN:(alvaDesc),MATS1e:(Dragon7),apKa1,RHSA:(CDK23),tpsaEfficiency:(CDK23),MAXDN:(alvaDesc),TDB04s:(alvaDesc),Hy:(Dragon7)
1,-4.78,-0.92,8.443,0.1565,170.8,0.8035,1.384,-0.2082,0.8446,-3.956,0.1126,0.08096,75.06,1,3.22,0.375,0.1905,3,-0.359,2.03,0.3677,0.7954,2.845,28.53,3.564
1,-1.38,-1,5.186,0.03435,90.5,0.8142,1.379,-0.1057,0.683,2.074,0.2779,0.05244,48.1,1,3.14,0.1872,-0.4116,1,-0.094,3.96,0.7077,0.2742,2.53,16.34,-0.161
0,-3.23,-0.03,6.453,0.2712,224.1,0.6107,1.376,-0.452,1.033,-1.488,0.07831,0.07305,104,1,3.317,0.2683,0.3988,0,-0.25,11.6,0.4636,0.5394,2.788,17.68,3.394
2,-6.62,-2,12.71,0.1794,186.9,0.8102,1.429,-0.1613,1.044,-0.235,0.3435,0.0608,102.8,1,3.413,0.372,-0.1843,2,-0.233,2.5,0.3693,0.5737,2.908,21.7,0.949
1,-4.51,-1.41,12.66,0.5052,292.1,0.8593,1.437,-0.1995,1.013,-2.999,0.1582,0.06533,120.3,0.67,3.592,0.3518,0.7246,2.828,-0.403,2.05,0.4318,0.5226,5.022,18.23,2.975
1,-2.49,-0.76,6.548,0.04969,116.8,0.8013,1.313,-0.05501,0.7944,-1.495,0.4008,0.04587,59.5,1,3.029,0.2142,0.2456,2,-0.152,2.61,0.6902,0.5435,2.572,12.16,1.786
2,-7.67,-3,12.68,0.5154,373.2,0.8591,1.408,-0.3078,0.895,-2.632,0.4471,0.05772,144.3,0.5,3.38,0.2697,-1.113,4.762,-0.302,1.49,0.4539,0.4635,5.697,16.49,3.403
1,-4.68,-1,7.867,0.1081,175.4,0.8022,1.406,-0.1824,0.9549,-3.596,0.1535,0.0575,82.06,1,3.238,0.3134,0.00463,2,-0.286,1.36,0.3818,0.7638,2.799,24.45,2.119
1,-1.47,-1,7.487,0.02423,104.1,0.7856,1.364,-0.06595,0.943,1.618,0.3395,0.0505,60.46,1,3.007,0.1538,-0.4727,1,-0.081,4.73,0.696,0.2486,2.408,10.72,-0.206
1,-5.35,-0.89,7.146,0.1071,158,0.8013,1.375,-0.1212,1.081,-3.882,0.2793,0.04774,75.74,1,3.224,0.2177,-0.1288,2,-0.099,1.74,0.5569,0.6035,2.703,13,1.882
